Bank Branch,Credit Verification Status,Default Flag,Description,Grade,Late Payment Flag,Loan Id,Loan Status,Loan SubType,Loan Type,Member Id,Origination Date,State,Sub Grade,Zip Code,Amort Term,Deposit Balance Month End,FICO Score,Interest Rate,IR,Origination Amount,Received Principal
4,Not Verified,,Aug 30 Day,B,On-Time,29420,Fully Paid,Lines of credit,Business Banking,8178575,7/8/2015 12:00:00 AM,DC,B5,20008,360,0,698,8.875,0.08875,250000,250000
4,Not Verified,,Aug 30 Day,B,On-Time,26394,Fully Paid,Lines of credit,Business Banking,31067165,4/27/2020 12:00:00 AM,FL,B5,33418,300,0,665,10.5,0.105,33000,33000
4,Not Verified,,Aug 30 Day,B,On-Time,68775,Fully Paid,Lines of credit,Business Banking,34822193,7/17/2013 12:00:00 AM,FL,B5,32725,345,0,640,7.5,0.075,170000,170000
4,Not Verified,,Aug 30 Day,B,On-Time,69020,Fully Paid,Lines of credit,Business Banking,22801595,1/20/2014 12:00:00 AM,FL,B5,33614,355,0,644,7.55,0.0755,156000,156000
4,Not Verified,,Aug 30 Day,B,On-Time,13979,Fully Paid,Lines of credit,Business Banking,30124889,2/24/2020 12:00:00 AM,FL,B5,33319,360,0,703,11,0.11,33000,33000
4,Not Verified,,Aug 30 Day,B,On-Time,68347,Fully Paid,Lines of credit,Business Banking,22811302,1/21/2014 12:00:00 AM,GA,B5,30087,331,0,606,7.875,0.07875,244000,244000
4,Not Verified,,Aug 30 Day,B,On-Time,68695,Fully Paid,Lines of credit,Business Banking,22871334,1/25/2014 12:00:00 AM,MD,B5,21769,346,0,686,6.875,0.06875,375200,375200
4,Not Verified,,Aug 30 Day,B,On-Time,14788,Fully Paid,Lines of credit,Business Banking,10391362,2/2/2013 12:00:00 AM,MD,B5,21401,360,0,653,11.75,0.1175,29500,29500
4,Not Verified,,Aug 30 Day,B,On-Time,25248,Fully Paid,Lines of credit,Business Banking,26286523,2/25/2015 12:00:00 AM,MN,B5,56347,300,15762,671,10.235,0.10235,61600,61600
4,Not Verified,,Aug 30 Day,B,On-Time,2858,Fully Paid,Lines of credit,Business Banking,8300052,7/27/2015 12:00:00 AM,MO,B5,64131,360,0,700,10.625,0.10625,29000,29000
4,Not Verified,,Aug 30 Day,B,On-Time,68876,Fully Paid,Lines of credit,Business Banking,24675257,9/30/2014 12:00:00 AM,TX,B5,77459,347,0,583,9.075,0.09075,92000,92000
7,Not Verified,,Aug 30 Day,B,On-Time,27860,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,26428329,3/28/2015 12:00:00 AM,CA,B5,95621,300,0,717,10.525,0.10525,55790,55790
7,Not Verified,,Aug 30 Day,B,On-Time,70910,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,20977551,5/24/2013 12:00:00 AM,CA,B5,91324,360,0,700,7.2,0.072,488000,488000
7,Not Verified,,Aug 30 Day,B,On-Time,14328,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,26417137,3/22/2015 12:00:00 AM,CA,B5,94603,360,0,701,10.125,0.10125,91000,91000
7,Not Verified,,Aug 30 Day,B,On-Time,28533,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,26408520,3/21/2015 12:00:00 AM,CA,B5,91710,360,0,728,10.25,0.1025,107000,107000
7,Not Verified,,Aug 30 Day,B,On-Time,18028,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,26427455,3/26/2015 12:00:00 AM,CA,B5,93308,360,0,752,10.375,0.10375,78000,78000
7,Not Verified,,Aug 30 Day,B,On-Time,18022,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,26487574,3/31/2015 12:00:00 AM,CA,B5,95758,360,0,777,9.875,0.09875,58000,58000
7,Not Verified,,Aug 30 Day,B,On-Time,70803,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,21899358,9/23/2013 12:00:00 AM,FL,B5,32832,360,0,633,8.65,0.0865,343920,343920
7,Not Verified,,Aug 30 Day,B,On-Time,14572,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,8713312,9/4/2015 12:00:00 AM,GA,B5,30253,360,0,770,9.875,0.09875,44800,44800
7,Not Verified,,Aug 30 Day,B,On-Time,68298,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,4127795,6/3/2013 12:00:00 AM,IN,B5,46217,1,0,580,7.25,0.0725,153600,153600
7,Not Verified,,Aug 30 Day,B,On-Time,15328,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,26807864,4/12/2015 12:00:00 AM,MA,B5,21880,360,0,749,8.875,0.08875,73400,73400
7,Not Verified,,Aug 30 Day,B,On-Time,69172,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,14888726,5/28/2014 12:00:00 AM,MI,B5,48166,338,0,648,6.75,0.0675,158800,158800
7,Not Verified,,Aug 30 Day,B,On-Time,27933,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,8734372,9/18/2015 12:00:00 AM,MI,B5,49048,300,0,673,10.4,0.104,30400,30400
7,Not Verified,,Aug 30 Day,B,On-Time,14922,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,8737277,9/20/2015 12:00:00 AM,MO,B5,64030,360,0,700,6.875,0.06875,38000,38000
7,Not Verified,,Aug 30 Day,B,On-Time,69040,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,14958604,6/14/2014 12:00:00 AM,NV,B5,89030,354,0,545,10.2,0.102,117000,117000
7,Not Verified,,Aug 30 Day,B,On-Time,68957,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,23004123,2/20/2014 12:00:00 AM,NY,B5,11572,351,0,656,8.035,0.08035,476000,476000
7,Not Verified,,Aug 30 Day,B,On-Time,36400,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,10437981,2/11/2013 12:00:00 AM,NY,B5,11727,360,0,731,8.5,0.085,350000,350000
7,Not Verified,,Aug 30 Day,B,On-Time,17674,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,2639337,10/3/2015 12:00:00 AM,OR,B5,97229,360,21404.7,670,11.875,0.11875,72100,72100
7,Not Verified,,Aug 30 Day,B,On-Time,29368,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,4230062,10/6/2015 12:00:00 AM,OR,B5,97702,360,0,723,8.25,0.0825,77500,77500
7,Not Verified,,Aug 30 Day,B,On-Time,31153,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,31206216,5/23/2020 12:00:00 AM,VA,B5,20147,360,0,685,8.5,0.085,102000,102000
7,Not Verified,,Aug 30 Day,B,On-Time,17785,Fully Paid,SBA 504 & Commercial Mtg.,Business Banking,30164827,3/6/2020 12:00:00 AM,VA,B5,23462,360,0,706,11,0.11,30600,30600
16,Not Verified,,Aug 30 Day,B,On-Time,68713,Fully Paid,SBA 7A,Business Banking,23042718,3/5/2014 12:00:00 AM,CA,B5,90746,1,0,710,7.5,0.075,612000,612000
16,Not Verified,,Aug 30 Day,B,On-Time,68575,Fully Paid,SBA 7A,Business Banking,23903855,7/17/2014 12:00:00 AM,CA,B5,92021,338,0,614,6.625,0.06625,247900,247900
16,Not Verified,,Aug 30 Day,B,On-Time,69171,Fully Paid,SBA 7A,Business Banking,23043481,3/7/2014 12:00:00 AM,CA,B5,91340,338,0,670,5.75,0.0575,396000,396000
16,Not Verified,,Aug 30 Day,B,On-Time,68943,Fully Paid,SBA 7A,Business Banking,35945102,9/29/2013 12:00:00 AM,CA,B5,92399,350,0,656,7.31,0.0731,288750,288750
16,Not Verified,,Aug 30 Day,B,On-Time,69037,Fully Paid,SBA 7A,Business Banking,35974575,10/5/2013 12:00:00 AM,CA,B5,95361,353,0,545,11.4,0.114,178500,178500
16,Not Verified,,Aug 30 Day,B,On-Time,15024,Fully Paid,SBA 7A,Business Banking,30165488,3/7/2020 12:00:00 AM,CA,B5,92688,360,0,667,12.125,0.12125,84000,84000
16,Not Verified,,Aug 30 Day,B,On-Time,3406,Fully Paid,SBA 7A,Business Banking,27138813,5/6/2015 12:00:00 AM,CA,B5,94538,360,0,714,10.875,0.10875,113000,113000
16,Not Verified,,Aug 30 Day,B,On-Time,39835,Fully Paid,SBA 7A,Business Banking,27099293,5/1/2015 12:00:00 AM,CA,B5,92509,360,20075.1,735,9.125,0.09125,88000,88000
16,Not Verified,,Aug 30 Day,B,On-Time,68849,Fully Paid,SBA 7A,Business Banking,36014680,10/10/2013 12:00:00 AM,FL,B5,33025,353,0,493,12,0.12,198250,198250
16,Not Verified,,Aug 30 Day,B,On-Time,26634,Fully Paid,SBA 7A,Business Banking,11207035,1/9/2020 12:00:00 AM,FL,B5,32068,300,0,713,10.375,0.10375,41700,41700
16,Not Verified,,Aug 30 Day,B,On-Time,36682,Fully Paid,SBA 7A,Business Banking,11067304,1/7/2020 12:00:00 AM,FL,B5,32765,360,51875.1,711,10.375,0.10375,200000,200000
16,Not Verified,,Aug 30 Day,B,On-Time,3443,Fully Paid,SBA 7A,Business Banking,11606714,1/23/2020 12:00:00 AM,MD,B5,21061,360,0,680,11.625,0.11625,75000,75000
16,Not Verified,,Aug 30 Day,B,On-Time,3071,Fully Paid,SBA 7A,Business Banking,27268439,6/1/2015 12:00:00 AM,NC,B5,28110,360,0,665,10.375,0.10375,35000,35000
16,Not Verified,,Aug 30 Day,B,On-Time,14852,Fully Paid,SBA 7A,Business Banking,11658610,1/31/2020 12:00:00 AM,NJ,B5,80880,360,25299.9,666,11,0.11,92000,92000
16,Not Verified,,Aug 30 Day,B,On-Time,28660,Fully Paid,SBA 7A,Business Banking,11677156,2/5/2020 12:00:00 AM,NY,B5,11554,360,0,669,11.875,0.11875,90000,90000
16,Not Verified,,Aug 30 Day,B,On-Time,3872,Fully Paid,SBA 7A,Business Banking,27609943,6/8/2015 12:00:00 AM,OR,B5,97227,360,0,778,10,0.1,62900,62900
16,Not Verified,,Aug 30 Day,B,On-Time,69805,Fully Paid,SBA 7A,Business Banking,15069476,7/19/2014 12:00:00 AM,TX,B5,75052,345,0,626,7.475,0.07475,222050,222050
16,Not Verified,,Aug 30 Day,B,On-Time,68289,Fully Paid,SBA 7A,Business Banking,3871392,5/13/2013 12:00:00 AM,WA,B5,98065,348,0,624,8.6,0.086,480000,480000
16,Not Verified,,Aug 30 Day,B,On-Time,68586,Fully Paid,SBA 7A,Business Banking,23083745,3/27/2014 12:00:00 AM,WI,B5,53223,337,0,584,6.75,0.0675,132000,132000
6,Not Verified,,Aug 30 Day,B,On-Time,39789,Fully Paid,SBA Express,Business Banking,31236765,5/30/2020 12:00:00 AM,CA,B5,93930,360,0,742,8.25,0.0825,85620,85620
6,Not Verified,,Aug 30 Day,B,On-Time,19345,Fully Paid,SBA Express,Business Banking,11928794,2/25/2020 12:00:00 AM,CA,B5,95357,360,0,635,12.25,0.1225,47000,47000
6,Not Verified,,Aug 30 Day,B,On-Time,35916,Fully Paid,SBA Express,Business Banking,11930169,2/26/2020 12:00:00 AM,CA,B5,95401,360,20006.4,664,12.125,0.12125,66000,66000
6,Not Verified,,Aug 30 Day,B,On-Time,23370,Fully Paid,SBA Express,Business Banking,11934886,3/2/2020 12:00:00 AM,CA,B5,92020,360,0,724,8.625,0.08625,133000,133000
6,Not Verified,,Aug 30 Day,B,On-Time,18006,Fully Paid,SBA Express,Business Banking,11938365,3/4/2020 12:00:00 AM,CA,B5,92301,360,0,745,11.5,0.115,33000,33000
6,Not Verified,,Aug 30 Day,B,On-Time,68687,Fully Paid,SBA Express,Business Banking,23084718,3/29/2014 12:00:00 AM,FL,B5,32244,349,0,595,9.95,0.0995,189900,189900
6,Not Verified,,Aug 30 Day,B,On-Time,9894,Fully Paid,SBA Express,Business Banking,11949598,3/16/2020 12:00:00 AM,FL,B5,33904,300,0,674,10.15,0.1015,25000,25000
6,Not Verified,,Aug 30 Day,B,On-Time,20009,Fully Paid,SBA Express,Business Banking,11954180,3/21/2020 12:00:00 AM,IL,B5,60098,360,0,668,10.125,0.10125,25500,25500
6,Not Verified,,Aug 30 Day,B,On-Time,68375,Fully Paid,SBA Express,Business Banking,23152329,4/3/2014 12:00:00 AM,MD,B5,21215,346,0,580,8.25,0.0825,124000,124000
6,Not Verified,,Aug 30 Day,B,On-Time,19997,Fully Paid,SBA Express,Business Banking,31266243,6/6/2020 12:00:00 AM,MD,B5,20772,360,0,687,11.125,0.11125,71000,71000
6,Not Verified,,Aug 30 Day,B,On-Time,19774,Fully Paid,SBA Express,Business Banking,11961594,3/26/2020 12:00:00 AM,MD,B5,20695,360,0,700,13,0.13,117000,117000
6,Not Verified,,Aug 30 Day,B,On-Time,23582,Fully Paid,SBA Express,Business Banking,11960853,3/25/2020 12:00:00 AM,MD,B5,21791,360,0,750,6.875,0.06875,95000,95000
6,Not Verified,,Aug 30 Day,B,On-Time,27995,Fully Paid,SBA Express,Business Banking,30233732,3/24/2020 12:00:00 AM,MN,B5,55123,300,0,746,8.025,0.08025,34975,34975
6,Not Verified,,Aug 30 Day,B,On-Time,36906,Fully Paid,SBA Express,Business Banking,27839725,7/12/2015 12:00:00 AM,NC,B5,28213,360,0,779,9.875,0.09875,32000,32000
6,Not Verified,,Aug 30 Day,B,On-Time,3340,Fully Paid,SBA Express,Business Banking,27849962,7/13/2015 12:00:00 AM,NJ,B5,72040,360,0,711,10.5,0.105,74000,74000
6,Not Verified,,Aug 30 Day,B,On-Time,69021,Fully Paid,SBA Express,Business Banking,14147050,12/30/2013 12:00:00 AM,NJ,B5,72030,351,0,466,12.49,0.1249,201500,201500
6,Not Verified,,Aug 30 Day,B,On-Time,3882,Fully Paid,SBA Express,Business Banking,30264811,3/26/2020 12:00:00 AM,NV,B5,89012,360,0,702,11.375,0.11375,37400,37400
6,Not Verified,,Aug 30 Day,B,On-Time,69022,Fully Paid,SBA Express,Business Banking,14917577,6/1/2014 12:00:00 AM,NY,B5,10025,352,0,474,11.99,0.1199,575000,575000
6,Not Verified,,Aug 30 Day,B,On-Time,68495,Fully Paid,SBA Express,Business Banking,23293677,4/15/2014 12:00:00 AM,TX,B5,75189,332,0,624,6.5,0.065,118800,118800
6,Not Verified,,Aug 30 Day,B,On-Time,69019,Fully Paid,SBA Express,Business Banking,23303987,4/16/2014 12:00:00 AM,TX,B5,77477,355,0,622,9,0.09,422500,422500
6,Not Verified,,Aug 30 Day,B,On-Time,69151,Fully Paid,SBA Express,Business Banking,14307577,1/13/2014 12:00:00 AM,VA,B5,22554,340,0,625,6.85,0.0685,423500,423500
6,Not Verified,,Aug 30 Day,B,On-Time,68888,Fully Paid,SBA Express,Business Banking,15399217,9/7/2014 12:00:00 AM,VA,B5,23601,347,0,618,8.375,0.08375,168000,168000
6,Not Verified,,Aug 30 Day,B,On-Time,15192,Fully Paid,SBA Express,Business Banking,12021375,4/26/2020 12:00:00 AM,WA,B5,98203,360,0,632,12.25,0.1225,41200,41200
2,Not Verified,,Aug 30 Day,B,On-Time,25139,Fully Paid,SBA loans,Business Banking,28400404,7/30/2015 12:00:00 AM,AZ,B5,85296,300,0,742,9.25,0.0925,86850,86850
2,Not Verified,,Aug 30 Day,B,On-Time,3350,Fully Paid,SBA loans,Business Banking,31647698,7/27/2020 12:00:00 AM,CA,B5,90805,360,0,710,10.75,0.1075,120000,120000
2,Not Verified,,Aug 30 Day,B,On-Time,36642,Fully Paid,SBA loans,Business Banking,12056717,5/8/2020 12:00:00 AM,CA,B5,92692,360,0,708,9.25,0.0925,73000,73000
2,Not Verified,,Aug 30 Day,B,On-Time,36662,Fully Paid,SBA loans,Business Banking,12437478,5/19/2020 12:00:00 AM,CA,B5,95959,360,0,731,9.75,0.0975,67000,67000
2,Not Verified,,Aug 30 Day,B,On-Time,42719,Fully Paid,SBA loans,Business Banking,9887529,12/26/2020 12:00:00 AM,CA,B5,91106,360,0,760,9.625,0.09625,10000,10000
2,Not Verified,,Aug 30 Day,B,On-Time,68584,Fully Paid,SBA loans,Business Banking,23322401,4/20/2014 12:00:00 AM,CO,B5,80863,338,0,617,6.5,0.065,132800,132800
2,Not Verified,,Aug 30 Day,B,On-Time,69082,Fully Paid,SBA loans,Business Banking,15449791,9/8/2014 12:00:00 AM,FL,B5,33913,349,0,651,8.75,0.0875,316800,316800
2,Not Verified,,Aug 30 Day,B,On-Time,3738,Fully Paid,SBA loans,Business Banking,12470534,6/4/2020 12:00:00 AM,KS,B5,66223,360,0,663,10.875,0.10875,41200,41200
2,Not Verified,,Aug 30 Day,B,On-Time,69149,Fully Paid,SBA loans,Business Banking,23372852,4/29/2014 12:00:00 AM,LA,B5,70769,337,0,644,7.05,0.0705,367920,367920
2,Not Verified,,Aug 30 Day,B,On-Time,17847,Fully Paid,SBA loans,Business Banking,28751619,8/25/2015 12:00:00 AM,MD,B5,21795,360,0,689,11.125,0.11125,79000,79000
2,Not Verified,,Aug 30 Day,B,On-Time,36865,Fully Paid,SBA loans,Business Banking,31667181,7/28/2020 12:00:00 AM,MD,B5,20746,360,0,764,8.875,0.08875,41000,41000
2,Not Verified,,Aug 30 Day,B,On-Time,19913,Fully Paid,SBA loans,Business Banking,28783265,8/31/2015 12:00:00 AM,NY,B5,10965,360,0,703,10.125,0.10125,85500,85500
2,Not Verified,,Aug 30 Day,B,On-Time,68501,Fully Paid,SBA loans,Business Banking,14417863,2/12/2014 12:00:00 AM,NY,B5,13203,1,0,589,8.75,0.0875,90000,90000
2,Not Verified,,Aug 30 Day,B,On-Time,69161,Fully Paid,SBA loans,Business Banking,14418117,2/13/2014 12:00:00 AM,NY,B5,11433,339,0,659,5.85,0.0585,312000,312000
2,Not Verified,,Aug 30 Day,B,On-Time,70438,Fully Paid,SBA loans,Business Banking,33359390,1/10/2013 12:00:00 AM,OH,B5,44001,360,0,554,11.55,0.1155,166500,166500
2,Not Verified,,Aug 30 Day,B,On-Time,36780,Fully Paid,SBA loans,Business Banking,28802288,9/6/2015 12:00:00 AM,OR,B5,97702,360,0,701,10.5,0.105,114400,114400
2,Not Verified,,Aug 30 Day,B,On-Time,68372,Fully Paid,SBA loans,Business Banking,24635523,9/15/2014 12:00:00 AM,TX,B5,76140,1,0,593,8.875,0.08875,80700,80700
2,Not Verified,,Aug 30 Day,B,On-Time,14855,Fully Paid,SBA loans,Business Banking,28851422,9/16/2015 12:00:00 AM,WA,B5,98004,360,0,746,10.25,0.1025,177000,177000
2,Not Verified,,Aug 30 Day,B,On-Time,28792,Fully Paid,SBA loans,Business Banking,12607559,7/3/2020 12:00:00 AM,WA,B5,98391,360,0,732,9.75,0.0975,41500,41500
17,Not Verified,,Aug 30 Day,B,On-Time,69146,Fully Paid,Taxi Medallion,Business Banking,14468114,3/5/2014 12:00:00 AM,CA,B5,92316,350,0,617,8.95,0.0895,394250,394250
17,Not Verified,,Aug 30 Day,B,On-Time,24758,Fully Paid,Taxi Medallion,Business Banking,12667346,7/12/2020 12:00:00 AM,CA,B5,92627,360,0,701,10.5,0.105,437500,437500
17,Not Verified,,Aug 30 Day,B,On-Time,68802,Fully Paid,Taxi Medallion,Business Banking,23493821,5/17/2014 12:00:00 AM,CO,B5,80209,349,0,717,7.25,0.0725,500000,500000
17,Not Verified,,Aug 30 Day,B,On-Time,24801,Fully Paid,Taxi Medallion,Business Banking,10769109,3/11/2013 12:00:00 AM,CO,B5,80247,300,0,687,9.5,0.095,37000,37000
17,Not Verified,,Aug 30 Day,B,On-Time,9651,Fully Paid,Taxi Medallion,Business Banking,31677165,7/31/2020 12:00:00 AM,CT,B5,60100,300,0,735,10.875,0.10875,43980,43980
17,Not Verified,,Aug 30 Day,B,On-Time,12484,Fully Paid,Taxi Medallion,Business Banking,30785130,4/10/2020 12:00:00 AM,FL,B5,33018,300,13805.4,629,13.275,0.13275,41598,41598
17,Not Verified,,Aug 30 Day,B,On-Time,70281,Fully Paid,Taxi Medallion,Business Banking,33940638,3/13/2013 12:00:00 AM,FL,B5,34772,360,0,672,6.15,0.0615,528000,528000
17,Not Verified,,Aug 30 Day,B,On-Time,69126,Fully Paid,Taxi Medallion,Business Banking,14480916,3/12/2014 12:00:00 AM,FL,B5,32112,345,0,614,7.925,0.07925,124000,124000
17,Not Verified,,Aug 30 Day,B,On-Time,9339,Fully Paid,Taxi Medallion,Business Banking,12907285,7/28/2020 12:00:00 AM,FL,B5,33167,300,0,620,12.25,0.1225,46000,46000
17,Not Verified,,Aug 30 Day,B,On-Time,69991,Fully Paid,Taxi Medallion,Business Banking,23522808,5/24/2014 12:00:00 AM,GA,B5,30034,347,0,680,8.25,0.0825,111600,111600
17,Not Verified,,Aug 30 Day,B,On-Time,70603,Fully Paid,Taxi Medallion,Business Banking,22019245,10/2/2013 12:00:00 AM,IL,B5,60641,360,0,702,8.25,0.0825,263600,263600
17,Not Verified,,Aug 30 Day,B,On-Time,68349,Fully Paid,Taxi Medallion,Business Banking,23534156,5/30/2014 12:00:00 AM,MD,B5,21234,346,0,596,7.75,0.0775,128000,128000
17,Not Verified,,Aug 30 Day,B,On-Time,25014,Fully Paid,Taxi Medallion,Business Banking,13377791,8/31/2020 12:00:00 AM,NV,B5,89403,300,0,661,11.95,0.1195,102400,102400
17,Not Verified,,Aug 30 Day,B,On-Time,68588,Fully Paid,Taxi Medallion,Business Banking,24565186,8/23/2014 12:00:00 AM,OH,B5,45211,339,0,580,7.25,0.0725,98950,98950
17,Not Verified,,Aug 30 Day,B,On-Time,28719,Fully Paid,Taxi Medallion,Business Banking,13597302,9/6/2020 12:00:00 AM,PA,B5,17065,360,5300.1,694,10,0.1,21200,21200
17,Not Verified,,Aug 30 Day,B,On-Time,30335,Fully Paid,Taxi Medallion,Business Banking,13618895,9/12/2020 12:00:00 AM,VA,B5,23321,360,0,744,8.875,0.08875,65000,65000
455,Not Verified,,Aug 30 Day,B,On-Time,69033,Fully Paid,Term loans,Business Banking,14531332,4/6/2014 12:00:00 AM,AZ,B5,85016,353,0,494,11.39,0.1139,130000,130000
455,Not Verified,,Aug 30 Day,B,On-Time,69122,Fully Paid,Term loans,Business Banking,23614033,6/15/2014 12:00:00 AM,CA,B5,90043,343,0,628,7.1,0.071,580000,580000
455,Not Verified,,Aug 30 Day,B,On-Time,69028,Fully Paid,Term loans,Business Banking,23643378,6/16/2014 12:00:00 AM,CA,B5,93292,353,0,558,10.55,0.1055,141000,141000
455,Not Verified,,Aug 30 Day,B,On-Time,70802,Fully Paid,Term loans,Business Banking,22079390,10/4/2013 12:00:00 AM,CA,B5,93619,360,0,661,7.75,0.0775,269286,269286
455,Not Verified,,Aug 30 Day,B,On-Time,40333,Fully Paid,Term loans,Business Banking,29582783,1/12/2020 12:00:00 AM,CA,B5,93536,360,0,779,6.875,0.06875,36500,36500
455,Not Verified,,Aug 30 Day,B,On-Time,69131,Fully Paid,Term loans,Business Banking,14540619,4/12/2014 12:00:00 AM,CA,B5,93905,346,0,643,8.325,0.08325,560000,560000
455,Not Verified,,Aug 30 Day,B,On-Time,69035,Fully Paid,Term loans,Business Banking,14538939,4/7/2014 12:00:00 AM,CA,B5,91720,353,0,469,11.39,0.1139,292500,292500
455,Not Verified,,Aug 30 Day,B,On-Time,36778,Fully Paid,Term loans,Business Banking,8714665,10/9/2020 12:00:00 AM,CA,B5,95695,360,0,686,12,0.12,150000,150000
455,Not Verified,,Aug 30 Day,B,On-Time,3616,Fully Paid,Term loans,Business Banking,10128368,1/5/2013 12:00:00 AM,CA,B5,92103,360,0,771,10.625,0.10625,97000,97000
455,Not Verified,,Aug 30 Day,B,On-Time,8536,Fully Paid,Term loans,Business Banking,29583321,1/14/2020 12:00:00 AM,CO,B5,80817,300,0,694,9.375,0.09375,35200,35200
455,Not Verified,,Aug 30 Day,B,On-Time,70594,Fully Paid,Term loans,Business Banking,16280408,11/9/2014 12:00:00 AM,CO,B5,80239,360,0,618,8.49,0.0849,153600,153600
455,Not Verified,,Aug 30 Day,B,On-Time,23802,Fully Paid,Term loans,Business Banking,10783422,3/21/2013 12:00:00 AM,MD,B5,20886,360,0,718,7.75,0.0775,30000,30000
455,Not Verified,,Aug 30 Day,B,On-Time,68735,Fully Paid,Term loans,Business Banking,23713819,6/30/2014 12:00:00 AM,MI,B5,48126,350,0,686,8.8,0.088,148000,148000
